O.S.;Data;Tipo;Máquina;Nome Máquina;Modelo;Fabricante;Ano de Fabricação;Descrição;Origem
2913;14/08/2024;CORRETIVA;117;117 - Extrusora;117 - Carnevalli monocamada;Carnevalli ;2016;OS GERADA AUTOMATICAMENTE POR DAVID DA CRUZ MALHEIROS OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção
2914;14/08/2024;CORRETIVA;116;116 - Extrusora;116 - Carnevalli monocamada;Carnevalli ;2015;OS GERADA AUTOMATICAMENTE POR ANDRE SOUZA DOS SANTOS OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção
2931;15/08/2024;CORRETIVA;117;117 - Extrusora;117 - Carnevalli monocamada;Carnevalli ;2016;OS GERADA AUTOMATICAMENTE POR GABRIEL GONCALVES SIMONETTI OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção
2932;15/08/2024;CORRETIVA;117;117 - Extrusora;117 - Carnevalli monocamada;Carnevalli ;2016;OS GERADA AUTOMATICAMENTE POR GABRIEL GONCALVES SIMONETTI OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção
2939;16/08/2024;CORRETIVA;506;506 - Rebobinadeira;;;2000;OS GERADA AUTOMATICAMENTE POR ALEX CALDEIRA MEDEIROS OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção
2942;16/08/2024;CORRETIVA;418;418 - Hece 850;HECE-850;HECE;2012;OS GERADA AUTOMATICAMENTE POR MARIA SUZANILDA DOS SANTOS SILVA  OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção
2949;17/08/2024;CORRETIVA;115;115 - Extrusora;115 - Carnevalli monocamada;Carnevalli ;2017;OS GERADA AUTOMATICAMENTE POR RAFAEL FERNANDO PINHEIRO OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção
2955;18/08/2024;CORRETIVA;115;115 - Extrusora;115 - Carnevalli monocamada;Carnevalli ;2017;OS GERADA AUTOMATICAMENTE POR IZAEL DA SILVA RODRIGUES OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção
2956;18/08/2024;CORRETIVA;115;115 - Extrusora;115 - Carnevalli monocamada;Carnevalli ;2017;OS GERADA AUTOMATICAMENTE POR IZAEL DA SILVA RODRIGUES OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção
2959;18/08/2024;CORRETIVA;115;115 - Extrusora;115 - Carnevalli monocamada;Carnevalli ;2017;OS GERADA AUTOMATICAMENTE POR IZAEL DA SILVA RODRIGUES OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção
