O.S.;Data;Tipo;Máquina;Nome Máquina;Modelo;Fabricante;Ano de Fabricação;Descrição;Origem;Ano;Mês;Semana;Dia
2942;2024-08-16;CORRETIVA;418.0;418 - Hece 850;HECE-850;HECE;2012.0;OS GERADA AUTOMATICAMENTE POR MARIA SUZANILDA DOS SANTOS SILVA  OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção;2024;8;33;16
2949;2024-08-17;CORRETIVA;115.0;115 - Extrusora;115 - Carnevalli monocamada;Carnevalli ;2017.0;OS GERADA AUTOMATICAMENTE POR RAFAEL FERNANDO PINHEIRO OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção;2024;8;33;17
2955;2024-08-18;CORRETIVA;115.0;115 - Extrusora;115 - Carnevalli monocamada;Carnevalli ;2017.0;OS GERADA AUTOMATICAMENTE POR IZAEL DA SILVA RODRIGUES OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção;2024;8;33;18
2956;2024-08-18;CORRETIVA;115.0;115 - Extrusora;115 - Carnevalli monocamada;Carnevalli ;2017.0;OS GERADA AUTOMATICAMENTE POR IZAEL DA SILVA RODRIGUES OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção;2024;8;33;18
2959;2024-08-18;CORRETIVA;115.0;115 - Extrusora;115 - Carnevalli monocamada;Carnevalli ;2017.0;OS GERADA AUTOMATICAMENTE POR IZAEL DA SILVA RODRIGUES OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção;2024;8;33;18
2960;2024-08-18;CORRETIVA;501.0;501 - Jaguar rebobinadeira;Jaguar;MegaSteel ;2000.0;OS GERADA AUTOMATICAMENTE POR ERONILDO JOSE LINS DA SILVA OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção;2024;8;33;18
2962;2024-08-19;CORRETIVA;113.0;113 - Extrusora;113 - Carnevalli monocamada;Carnevalli ;2020.0;OS GERADA AUTOMATICAMENTE POR ANDREA PEREIRA SOARES OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção;2024;8;34;19
2965;2024-08-19;CORRETIVA;117.0;117 - Extrusora;117 - Carnevalli monocamada;Carnevalli ;2016.0;OS GERADA AUTOMATICAMENTE POR CARLOS EDUARDO FREITAS DE SOUZA OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção;2024;8;34;19
2966;2024-08-19;CORRETIVA;117.0;117 - Extrusora;117 - Carnevalli monocamada;Carnevalli ;2016.0;OS GERADA AUTOMATICAMENTE POR CARLOS EDUARDO FREITAS DE SOUZA OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção;2024;8;34;19
2967;2024-08-19;CORRETIVA;418.0;418 - Hece 850;HECE-850;HECE;2012.0;OS GERADA AUTOMATICAMENTE POR MARIA SUZANILDA DOS SANTOS SILVA  OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção;2024;8;34;19
